station_name,lat,lon,station_cd,yomi,pref_cd
観音,35.728952,140.840112,9933503,,12
本銚子,35.731055,140.847844,9933504,,12
笠上黒生,35.728427,140.856893,9933505,,12
西海鹿島,35.725131,140.860207,9933506,,12
海鹿島,35.722089,140.863096,9933507,,12
君ヶ浜,35.714093,140.860527,9933508,,12
犬吠,35.706258,140.860935,9933509,,12
外川,35.699314,140.857322,9933510,,12
大井競馬場前,35.595006,139.74708,9933603,おおいけいばじょうまえ,13
流通センター,35.58186,139.748964,9933604,りゅうつうせんたー,13
昭和島,35.570656,139.749918,9933605,しょうわじま,13
整備場,35.555125,139.753366,9933606,せいびじょう,13
新整備場,35.542773,139.786777,9933608,しんせいびじょう,13
羽田空港第1ターミナル,35.549163,139.784653,9933609,はねだくうこうだいいちたーみなる,13
羽田空港第2ターミナル,35.550734,139.787979,9933610,はねだくうこうだいにたーみなる,13
東雲,35.640987,139.804395,9933702,しののめ,1
国際展示場,35.63441,139.791617,9933703,こくさいてんじじょう,13
東京テレポート,35.62753,139.778896,9933704,とうきょうてれぽーと,13
品川シーサイド,35.608524,139.749549,9933706,しながわしーさいど,13
東海神,35.705888,139.980343,9933802,,12
飯山満,35.71407,140.0223,9933803,,12
船橋日大前,35.726931,140.058962,9933805,,12
八千代緑が丘,35.728884,140.073461,9933806,,12
八千代中央,35.727807,140.103713,9933807,,12
村上,35.72371,140.118375,9933808,,15
東葉勝田台,35.715458,140.126075,9933809,,12
箱根板橋,35.245169,139.145169,9933902,,14
風祭,35.246229,139.129104,9933903,,14
入生田,35.240894,139.121244,9933904,,14
